Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Eswatini,4/18/20,22,1,117,-26.5225,31.4659
,Ethiopia,4/18/20,105,3,14,9.145,40.4897
,Fiji,4/18/20,17,0,237,-17.7134,178.065
,Finland,4/18/20,3681,90,5,64,26
French Guiana,France,4/18/20,96,0,19,3.9339,-53.1258
French Polynesia,France,4/18/20,55,0,35983,-17.6797,149.4068
Guadeloupe,France,4/18/20,148,8,7,16.25,-61.5833
Mayotte,France,4/18/20,254,4,2,-12.8275,45.1662
New Caledonia,France,4/18/20,18,0,86,-20.9043,165.618
Reunion,France,4/18/20,407,0,85400,-21.1351,55.2471
Saint Barthelemy,France,4/18/20,6,0,99,17.9,-62.8333
St Martin,France,4/18/20,37,2,6,18.0708,-63.0501
Martinique,France,4/18/20,158,8,269,14.6415,-61.0242
,France,4/18/20,147969,19323,21,46.2276,2.2137
,Gabon,4/18/20,108,1,65,-0.8037,11.6094
,Gambia,4/18/20,9,1,0,13.4432,-15.3101
,Georgia,4/18/20,388,4,9,42.3154,43.3569
,Germany,4/18/20,143342,4459,0,51,9
,Ghana,4/18/20,834,9,2,7.9465,-1.0232
,Greece,4/18/20,2235,110,10,39.0742,21.8243
,Guatemala,4/18/20,235,7,231,15.7835,-90.2308
,Guinea,4/18/20,518,3,1291,9.9456,-9.6966
,Guyana,4/18/20,63,6,2463,5,-58.75
,Haiti,4/18/20,44,3,631,18.9712,-72.2852
,Holy See,4/18/20,8,0,55987,41.9029,12.4534
,Honduras,4/18/20,457,46,953,15.2,-86.2419
,Hungary,4/18/20,1834,172,77,47.1625,19.5033
,Iceland,4/18/20,1760,9,3456,64.9631,-19.0208
,India,4/18/20,15722,521,44927,21,78
,Indonesia,4/18/20,6248,535,25,-0.7893,113.9213
,Iran,4/18/20,80868,5031,1069,32,53
,Iraq,4/18/20,1513,82,269,33,44
,Ireland,4/18/20,14758,571,377,53.1424,-7.6921
,Israel,4/18/20,13265,164,60,31,35
,Italy,4/18/20,175925,23227,7937,43,12
,Jamaica,4/18/20,163,5,280,18.1096,-77.2975
,Japan,4/18/20,10296,222,130,36,138
,Jordan,4/18/20,413,7,88,31.24,36.51
,Kazakhstan,4/18/20,1615,17,99,48.0196,66.9237
,Kenya,4/18/20,262,12,7,-0.0236,37.9062
,"Korea, South",4/18/20,10653,232,11,36,128
,Kuwait,4/18/20,1751,6,55,29.5,47.75
,Kyrgyzstan,4/18/20,506,5,228,41.2044,74.7661
,Latvia,4/18/20,712,5,601,56.8796,24.6032
,Lebanon,4/18/20,672,21,35,33.8547,35.8623
,Liberia,4/18/20,76,7,3102,6.4281,-9.4295
,Liechtenstein,4/18/20,79,1,16,47.14,9.55
,Lithuania,4/18/20,1239,33,41,55.1694,23.8813
,Luxembourg,4/18/20,3537,72,99,49.8153,6.1296
,Madagascar,4/18/20,120,0,2,-18.7669,46.8691
,Malaysia,4/18/20,5305,88,180,2.5,112.5
,Maldives,4/18/20,35,0,2125,3.2028,73.2207
,Malta,4/18/20,426,3,391,35.9375,14.3754
,Mauritania,4/18/20,7,1,22,21.0079,10.9408
,Mauritius,4/18/20,325,9,5,-20.2,57.5
,Mexico,4/18/20,6875,546,55,23.6345,-102.5528
,Moldova,4/18/20,2378,57,314,47.4116,28.3699
,Monaco,4/18/20,94,3,4,43.7333,7.4167
,Mongolia,4/18/20,31,0,6,46.8625,103.8467
,Montenegro,4/18/20,307,5,2,42.5,19.3
,Morocco,4/18/20,2685,137,44,31.7917,-7.0926
,Namibia,4/18/20,16,0,11,-22.9576,18.4904
,Nepal,4/18/20,31,0,12,28.1667,84.25
Aruba,Netherlands,4/18/20,96,2,250,12.5186,-70.0358
Curacao,Netherlands,4/18/20,14,1,867,12.1696,-68.99
Sint Maarten,Netherlands,4/18/20,64,9,6,18.0425,-63.0548
,Netherlands,4/18/20,31589,3601,113,52.1326,5.2913
,New Zealand,4/18/20,1422,11,166,-40.9006,174.886
,Nicaragua,4/18/20,9,2,164,12.8654,-85.2072
,Niger,4/18/20,639,19,32,17.6078,8.0817
,Nigeria,4/18/20,542,19,176,9.082,8.6753
,North Macedonia,4/18/20,1170,49,1832,41.6086,21.7453
,Norway,4/18/20,7036,164,122,60.472,8.4689
,Oman,4/18/20,1180,6,0,21,57
,Pakistan,4/18/20,7638,143,35,30.3753,69.3451
,Panama,4/18/20,4210,116,6684,8.538,-80.7821
,Papua New Guinea,4/18/20,7,0,516,-6.315,143.9555
,Paraguay,4/18/20,202,8,981,-23.4425,-58.4438
,Peru,4/18/20,14420,348,610,-9.19,-75.0152
,Philippines,4/18/20,6087,397,510,13,122
,Poland,4/18/20,8742,347,1730,51.9194,19.1451
,Portugal,4/18/20,19685,687,3057,39.3999,-8.2245
,Qatar,4/18/20,5008,8,69,25.3548,51.1839
,Romania,4/18/20,8418,421,0,45.9432,24.9668
,Russia,4/18/20,36793,313,11,60,90
,Rwanda,4/18/20,144,0,1,-1.9403,29.8739
,Saint Lucia,4/18/20,15,0,60,13.9094,-60.9789
,Saint Vincent and the Grenadines,4/18/20,12,0,1329,12.9843,-61.2872
,San Marino,4/18/20,455,39,211,43.9424,12.4578
,Saudi Arabia,4/18/20,8274,92,637,24,45
,Senegal,4/18/20,350,3,5,14.4974,-14.4524
,Serbia,4/18/20,5994,117,740,44.0165,21.0059
,Seychelles,4/18/20,11,0,213,-4.6796,55.492
,Singapore,4/18/20,5992,11,190,1.2833,103.8333
,Slovakia,4/18/20,1089,11,2,48.669,19.699
,Slovenia,4/18/20,1317,70,903,46.1512,14.9955
,Somalia,4/18/20,135,7,74797,5.1521,46.1996
,South Africa,4/18/20,3034,52,86,-30.5595,22.9375
,Spain,4/18/20,191726,20043,6,40,-4
,Sri Lanka,4/18/20,254,7,6,7,81
,Sudan,4/18/20,66,10,550,12.8628,30.2176
